company,car_model,sale_date,price,location,customer_type
Honda,Honda Civic,2023-01-10,22800.0,Boston,Individual
Honda,Honda Accord,2023-02-05,28500.0,Chicago,Fleet
Toyota,Toyota Camry,2023-03-12,26500.0,Denver,Individual
Toyota,Toyota Corolla,2023-01-25,20800.0,Austin,Individual
Honda,Honda CR-V,2023-04-08,31900.0,Atlanta,Individual
Toyota,Toyota RAV4,2023-03-20,30500.0,Chicago,Business
Honda,Honda Pilot,2023-05-15,42300.0,San Francisco,Individual
Toyota,Toyota Sienna,2023-06-22,38700.0,Los Angeles,Family
Honda,Honda Odyssey,2023-07-10,39800.0,Chicago,Family
Toyota,Toyota Tundra,2023-08-05,45600.0,Dallas,Business
Tesla,Tesla Model Y,2024-06-10,36900.0,San Diego,Individual
Honda,Honda Ridgeline,2023-09-18,42100.0,Miami,Individual
Toyota,Toyota Tacoma,2023-10-25,35800.0,Phoenix,Individual
Honda,Honda Passport,2023-11-12,38900.0,Dallas,Individual
Toyota,Toyota 4Runner,2023-12-05,43500.0,Nashville,Business
Honda,Honda Civic Hybrid,2024-01-18,28300.0,Chicago,Individual
Toyota,Toyota Camry Hybrid,2024-02-10,31200.0,Detroit,Individual
Honda,Honda Accord Hybrid,2024-03-05,33600.0,Minneapolis,Fleet
Toyota,Toyota Prius,2024-04-15,29700.0,Charlotte,Individual
Honda,Honda Insight,2024-05-22,27800.0,Chicago,Individual
Tesla,Tesla Model 3,2024-08-22,36900.0,Chicago,Individual
Toyota,Toyota Venza,2024-06-10,36900.0,San Diego,Individual